nama;singkatan;status;eselon;isSatkerAnggaran;indukOrganisasiId
Sekretariat Jenderal;Setjen;1;1;1;kemlu
Direktorat Jenderal Asia Pasifik dan Afrika;Ditjen Aspasaf;1;1;1;kemlu
Direktorat Jenderal Amerika dan Eropa;Ditjen Amerop;1;1;1;kemlu
Direktorat Jenderal Kerja Sama ASEAN;Ditjen KS ASEAN;1;1;1;kemlu
Direktorat Jenderal Kerja Sama Multilateral;Ditjen KS Multilateral;1;1;1;kemlu
Direktorat Jenderal Hukum dan Perjanjian Internasionall;Ditjen HPI;1;1;1;kemlu
Direktorat Jenderal Informasi dan Diplomasi Publik;Ditjen IDP;1;1;1;kemlu
Direktorat Jenderal Protokol dan Konsuler;Ditjen Protkons;1;1;1;kemlu
Inspektorat Jenderal;Itjen;1;1;1;kemlu
Badan Strategi Kebijakan Luar Negeri;BSKLN;1;1;1;kemlu
Pusat Pendidikan dan Pelatihan;Pusdiklat;1;2;1;kemlu
Pusat Teknologi Informasi dan Komunikasi Kementerian dan Perwakilan;Pustik KP;1;2;1;kemlu
Pusat Pembinaan Jabatan Fungsional;Pusbinjabfung;1;2;1;kemlu